
Date,Open,High,Low,Close,Volume
2021-01-04,126.56,128.19,126.28,128.08,100620900
2021-01-05,128.89,131.74,128.43,131.67,110052300
2021-01-06,127.72,131.05,126.38,126.60,155088000
2021-01-07,128.36,131.63,127.86,130.92,109578200
2021-01-08,132.43,132.63,130.23,131.97,105158200
2021-01-11,129.19,130.17,128.50,128.98,100620900
2021-01-12,128.66,129.69,126.86,128.80,91951100
2021-01-13,128.76,131.45,128.49,130.89,88636800
2021-01-14,131.15,131.74,128.76,128.91,90460400
2021-01-15,128.78,130.22,127.00,127.14,111598500
2021-01-19,127.78,128.71,126.94,127.83,80576300
2021-01-20,128.66,132.49,128.55,132.03,114459400
2021-01-21,132.50,134.55,131.62,133.94,90757300
2021-01-22,133.48,139.67,133.39,139.07,121386900
2021-01-25,140.00,141.58,135.89,139.14,140843800
2021-01-26,139.94,144.30,139.85,143.16,133822300
2021-01-27,143.43,144.30,140.41,142.06,140843800
2021-01-28,141.77,143.98,140.32,141.94,142621100
2021-01-29,141.85,143.20,140.36,142.46,113816500
2021-02-01,143.75,144.97,141.84,144.56,106239800








company_name,open,low,high
Apple Inc.,148.50,146.72,150.19
Microsoft Corporation,302.62,299.70,305.00
Amazon.com Inc.,3452.78,3430.00,3489.88
Google Alphabet Inc.,2700.00,2678.02,2735.93
Tesla Inc.,754.12,745.00,765.78
Facebook Inc.,375.00,371.54,378.97
Johnson & Johnson,171.75,169.21,174.30
Procter & Gamble Co.,144.50,142.60,146.20
Visa Inc.,231.30,229.05,234.88
JPMorgan Chase & Co.,160.25,157.90,162.50
